N,Binomial Tree,Trinomial Tree,Finite Differences
10,22.181839152780256,21.875734820491054,23.34365604313515
12,22.09852066471875,21.802025285167588,22.328958513983896
15,22.004470232856402,21.857543735240448,22.64942061307876
18,21.919886129400815,21.918606287949867,22.121583607132877
22,21.836761540096077,21.953758253408488,22.265528444533636
28,21.825896124405272,21.96135116833701,21.735898180201254
34,21.90274477782257,21.946667956497592,22.119144486879044
42,21.94822528424839,21.915291010397535,21.969411492322415
52,21.962444483082088,21.879586479494275,21.912541378861583
64,21.952913271519968,21.91738473579031,21.876492183734612
78,21.927822525918387,21.927266724255485,21.913663354822667
97,21.93819633463648,21.915568198541504,21.910344800637315
119,21.92857586228925,21.899098939154943,21.91268503993452
146,21.926412064181335,21.9171857478783,21.917523476945288
180,21.921860583328,21.912309283714873,21.90545087152626
221,21.92135309633047,21.908207014255623,21.907950864488654
272,21.91378599018244,21.913301397585276,21.90708830105808
335,21.906073053936694,21.90718564156938,21.909181918667787
412,21.900883565009757,21.911067950466375,21.90864677688135
507,21.904085565326415,21.910217328999927,21.908828018418163
623,21.912949835486437,21.906114532498094,21.908879916730772
766,21.91221788167512,21.90938954487553,21.90879720054293
942,21.906436477996014,21.90986128585126,21.908553221259197
1159,21.9093036681245,21.909644159384627,21.90834729712463
1425,21.906660262433814,21.909383748484917,21.90841986456505
1752,21.909306726424784,21.908923838395104,21.908330423801033
2154,21.908478349084184,21.90773256795206,21.908403020357525
2648,21.908442229282564,21.908858027899463,21.908365029920166
3257,21.90866686765332,21.90801985602181,21.908359250290477
4004,21.9091049947734,21.908622256595805,21.90836404123167
4923,21.908875315937504,21.90863130561273,21.908365957923245
6054,21.90879079501142,21.90847733529942,21.908363007356837
7443,21.908752347721606,21.908308128860764,21.908360683228867
9152,21.90822302251304,21.908443404339685,21.908361598045467
11253,21.9086232678429,21.9084674689297,21.908362316870992
13836,21.908460453796465,21.908336534329994,21.908360697642674
17012,21.908419345893396,21.90844727350972,21.908360988954907
20917,21.908294995790403,21.908428953920005,21.908361226944976
25719,21.908386512058485,21.90836593388146,21.9083610535513
31622,21.90835542027392,21.908391017832006,21.908361257606714
