N,Binomial Tree,Trinomial Tree,Finite Differences
10,3.938999952879385e-06,3.6520000321615953e-06,1.1127000107080676e-05
12,8.92999878487899e-07,8.930001058615744e-07,2.055000095424475e-06
15,7.680000635446049e-07,8.3000008999079e-07,2.4369999209739035e-06
18,9.230000159732299e-07,8.629999683762435e-07,3.3370001801813487e-06
22,9.750001481734216e-07,1.0200001270277426e-06,5.891999990126351e-06
28,1.1950000953220297e-06,1.3049998415226582e-06,6.717999895045068e-06
34,1.3750000107393134e-06,1.4849999843136175e-06,9.534999890092877e-06
42,1.6230001165240537e-06,2.074999883916462e-06,1.3477000038619735e-05
52,2.350999920963659e-06,3.0900000638212077e-06,2.0463000055315206e-05
64,4.295000053389231e-06,6.85499981045723e-06,4.28849998570513e-05
78,3.591999984564609e-06,5.387000101109152e-06,4.5234000026539434e-05
97,4.063000005771755e-06,6.762000111848465e-06,6.62219999867375e-05
119,5.261999831418507e-06,9.229999932358623e-06,9.726200005388819e-05
146,7.510999921578332e-06,1.3042000091445516e-05,0.00017761000003702065
180,1.2452999953893595e-05,1.8860999944081414e-05,0.00023934499995448277
221,1.537899993309111e-05,2.4705999976504245e-05,0.0003535829998781992
272,2.271100015605043e-05,3.456599984019704e-05,0.0005079449999811914
335,3.154000000904489e-05,5.073300008007209e-05,0.0007521410000208562
412,4.0923000142356614e-05,6.839499997113307e-05,0.0011435989999881713
507,9.8256000001129e-05,9.867000017038663e-05,0.0016752809999616147
623,7.965800000420131e-05,0.00013666499989994918,0.0038969449999513017
766,0.00010455400001774251,0.00018683600001168088,0.003808564999872033
942,0.00016235799989772204,0.0002876109999760956,0.005915283000149429
1159,0.00021674000004168192,0.0004399979998197523,0.008686029000045892
1425,0.0003198739998424571,0.0007604359998367727,0.01334588800000347
1752,0.00046341000006577815,0.0011597829998208908,0.020011997999972664
2154,0.0007123590000901459,0.0018637180000951048,0.030395246999887604
2648,0.0010733060000802652,0.0030051559999719757,0.045630232000121396
3257,0.0015930080000998714,0.00444675499988989,0.08612424000011742
4004,0.00264799799992943,0.0073323599999639555,0.10892896900008964
4923,0.004117983000014647,0.010906065999961356,0.16109303300004285
6054,0.006221696000011434,0.016521771000043373,0.24430104199996094
7443,0.009842783000067357,0.024625071000173193,0.37060129900009997
9152,0.01571646200000032,0.037628131000019494,0.5642617490000248
11253,0.023747515999957614,0.05758310999999594,0.8334853979999934
13836,0.03539039099996444,0.08565795499998785,1.310556644000144
17012,0.05408674499994959,0.12851346900015415,1.9458353689999512
20917,0.08126521600001979,0.19338088800009245,3.0075731480001195
25719,0.12422404999983883,0.2880841789999522,4.596341765000034
31622,0.18608096100001603,0.4298337319999064,7.091308782999931
