N,Binomial Tree,Trinomial Tree,Finite Differences
10,7.779999577905983e-07,8.699998943484388e-07,3.1259999104804592e-06
12,7.129999630706152e-07,8.039999102038564e-07,1.8700000055105193e-06
15,7.37999926059274e-07,8.049998996284558e-07,2.3529998998128576e-06
18,8.4499993135978e-07,8.50999867907376e-07,3.071000037380145e-06
22,9.529999260848854e-07,9.840000529948156e-07,4.96999996357772e-06
28,1.1090000953117851e-06,1.2159998732386157e-06,6.385000006048358e-06
34,1.3559999842982506e-06,1.4710001323692268e-06,8.918000048652175e-06
42,1.6480000795127125e-06,2.081999809888657e-06,1.3446999901134404e-05
52,2.547999883972807e-06,3.102999926340999e-06,2.064000000245869e-05
64,3.7820000216015615e-06,5.246999990049517e-06,3.273400011494232e-05
78,3.263000053266296e-06,4.8379999952885555e-06,4.460599984668079e-05
97,4.075999868291547e-06,6.725000048390939e-06,6.628200003433449e-05
119,5.185000190977007e-06,9.106000106839929e-06,9.674300008555292e-05
146,7.4980000590585405e-06,1.867099990704446e-05,0.00017160599986709713
180,1.0707000001275446e-05,1.8194999938714318e-05,0.00023769399990669626
221,1.522899992778548e-05,2.4591000055806944e-05,0.00035696200006896106
272,2.0832000018344843e-05,3.402100014682219e-05,0.0005331439999736176
335,3.0328999855555594e-05,4.874999990533979e-05,0.0007603879998896446
412,3.949100005229411e-05,6.722700004502258e-05,0.0011756480000713054
507,5.933300008109654e-05,9.638000005907088e-05,0.0017188089998398937
623,7.597200010422966e-05,0.0004031949999898643,0.002747477999946568
766,9.831099987422931e-05,0.0002400350001607876,0.003842026000029364
942,0.00014689499994346988,0.00030326199998853554,0.005857033999973282
1159,0.00020730000005642069,0.0004393730000629148,0.008715513999959512
1425,0.00030088099993008655,0.0007205289998637454,0.02601591899997402
1752,0.00042518899999777204,0.00116709400003856,0.02045528700000432
2154,0.0006910580000294431,0.0018563969999831897,0.030605014000002484
2648,0.001203530999873692,0.002989917999911995,0.047520254000119166
3257,0.0024906250000640284,0.004667339999969045,0.07270223099999384
4004,0.0057787980001648975,0.0071739009999873815,0.10792961700008163
4923,0.011580522000031124,0.010900381000055859,0.15856861099996422
6054,0.022596927999984473,0.016874443999995492,0.2455194010001378
7443,0.04353728499995668,0.02589607699997032,0.3698275790000025
9152,0.07845195999993848,0.037641423999957624,0.5610305940001581
11253,0.1402842470001815,0.056380377999857956,0.8451795500000117
13836,0.245394393999959,0.08636016599984941,1.345286119000093
17012,0.4153376729998399,0.13297186500017233,2.0543360340000163
20917,0.6979694300000574,0.19362812700001086,3.1318477029999485
25719,1.1505732570001328,0.28944857000010416,4.865828319999991
31622,1.8752785100000438,0.4297055669999281,7.504457818999981
