N,Binomial Tree,Trinomial Tree,Finite Differences
10,8.335093956980716,8.028989624691643,9.49691679437698
12,8.25177546891921,7.955280089368146,8.482217426102277
15,8.15772503705685,8.010798539440692,8.802678043412094
18,8.073140933601286,8.071861092150284,8.274840234264822
22,7.990016344296548,8.107013057608649,8.418784469039664
28,7.979150928605754,8.114605972537243,7.889153737839617
34,8.055999582023027,8.099922760697583,8.272399802053794
42,8.101480088448845,8.068545814597861,8.122666631388444
52,8.115699287282556,8.03284128369414,8.065796401524016
64,8.106168075720465,8.070639539991728,8.029747132154968
78,8.081077330118848,8.080521528455662,8.066918256117793
97,8.091451138836936,8.068823002743336,8.063599667621046
119,8.081830666489642,8.052353743354958,8.065939885850334
146,8.079666868381816,8.070440552078082,8.070778308858884
180,8.07511538752846,8.065564087917345,8.058705693958913
221,8.074607900530951,8.061461818454385,8.061205680784195
272,8.067040794383072,8.066556201783065,8.06034311324308
335,8.05932785813718,8.060440445770107,8.062436728131065
412,8.054138369210234,8.064322754668684,8.06190158455994
507,8.057340369526516,8.063472133202152,8.062082824915189
623,8.06620463968654,8.059369336692464,8.062134722453797
766,8.065472685875573,8.062644349072539,8.062052005751514
942,8.05969128219707,8.063116090051095,8.061808026128471
1159,8.062558472324941,8.062898963596004,8.061602101778725
1425,8.059915066633241,8.062638552685364,8.061674669084663
1752,8.062561530625338,8.062178642592846,8.061585228224805
2154,8.061733153286225,8.060987372163234,8.061657824706106
2648,8.061697033483092,8.062112832107061,8.061619834186818
3257,8.0619216718538,8.061274660273748,8.061614054485815
4004,8.062359798976825,8.061877060797729,8.061618845373928
4923,8.06213012014162,8.061886109765375,8.06162076211416
6054,8.062045599211924,8.061732139591676,8.061617811600632
7443,8.062007151916491,8.06156293298902,8.061615487366012
9152,8.061477826706561,8.0616982085471,8.061616402457487
11253,8.061878072051684,8.06172227306282,8.06161712205676
13836,8.06171525799691,8.061591338471125,8.06161550320393
17012,8.06167415009384,8.061702077834846,8.06161579426281
20917,8.061549800006981,8.061683758089552,8.061616031848047
25719,8.061641316258976,8.06162073829683,8.06161585671724
31622,8.061610224451277,8.061645821758956,8.061616055010436
