N,Binomial Tree,Trinomial Tree,Finite Differences
10,5.804000011266908e-06,4.655000111597474e-06,1.0943999996015918e-05
12,1.1949998679483542e-06,1.1859999631269602e-06,2.3520001377619337e-06
15,1.1679999261104967e-06,2.136999910362647e-06,3.3889998576341895e-06
18,1.1229999472561758e-06,2.0119998680456774e-06,5.23399990015605e-06
22,1.2259999948582845e-06,2.311999878656934e-06,6.5609999637672445e-06
28,1.303000090047135e-06,2.874000074370997e-06,8.167000032699434e-06
34,1.3809999472869094e-06,3.254999910495826e-06,1.0700000075303251e-05
42,1.630000042496249e-06,2.1549999473791104e-06,1.3805999969918048e-05
52,4.143000069234404e-06,3.3320000056846766e-06,2.1779000007882132e-05
64,5.3440001011040295e-06,5.764000206909259e-06,3.5190000062357285e-05
78,4.092999915883411e-06,6.496999958471861e-06,4.577400000016496e-05
97,4.3259999529254856e-06,6.764000090697664e-06,6.703999997625942e-05
119,5.5550001434312435e-06,9.680999937700108e-06,0.00010294399999111192
146,7.765999953335267e-06,1.3395999985732487e-05,0.00016097399998216133
180,1.4881999959470704e-05,2.353300010327075e-05,0.00025335599980280676
221,1.8403000012767734e-05,2.673900007721386e-05,0.00035425100008978916
272,2.3086000055627665e-05,3.577699999368633e-05,0.0005112329999974463
335,3.0701000014232704e-05,5.200999999033229e-05,0.0007902830000148242
412,4.14880000789708e-05,6.769900005565432e-05,0.0011358639999343723
507,5.533800003831857e-05,9.533900015412655e-05,0.001733686999841666
623,7.943299988255603e-05,0.0002016450000610348,0.0027142419999108824
766,0.00014308599998003046,0.0002020379999976285,0.004008488000181387
942,0.00015312499999708962,0.0002869009999812988,0.0060121179999441665
1159,0.00021750499990957906,0.0004803799999990588,0.00890371800005596
1425,0.0003477150000890106,0.0008383179999782442,0.01357731899997816
1752,0.0004722430001038447,0.0012388410000312433,0.020767867999893497
2154,0.0006561049999618263,0.001954967000074248,0.0310622310000781
2648,0.0011526969999522407,0.0029109439999501774,0.05011487299998407
3257,0.002412971000012476,0.004658558000073754,0.07041394900011255
4004,0.005360486999961722,0.0070225259999006084,0.11361371099997086
4923,0.013365585999963514,0.01051056599999356,0.1803200110000489
6054,0.02198767200002294,0.01698097799999232,0.24258070600012616
7443,0.04182654100009131,0.02487693000011859,0.37651222799991046
9152,0.07670968599995831,0.03757853000001887,0.5714114820000304
11253,0.13791297800003122,0.05672857300010037,0.8504028629999993
13836,0.24028832899989538,0.08520816999998715,1.3089547770000536
17012,0.4168123280001055,0.12970792600003733,1.9985029219999433
20917,0.6847204509999756,0.19312755999999354,3.053929109999899
25719,1.1354327720000583,0.28878480399998807,4.6785380499998155
31622,1.857177639999918,0.43072588299992276,7.189815288999853
