N,Binomial Tree,Trinomial Tree,Finite Differences
10,32.663423436167896,32.577835857377046,32.986979665563084
12,32.542297489321406,32.64034126769971,33.00892585843486
15,32.765758633299136,32.67069541597388,32.841553016498864
18,32.523696330518305,32.6646510883768,33.03852640273732
22,32.61516284263626,32.63265998169344,33.02511860851653
28,32.66615682689037,32.567516895182784,32.48986929016213
34,32.66915851159027,32.583816942578274,32.62556675164417
42,32.642119281023504,32.617966855314926,32.677424082482936
52,32.59011499630759,32.614958185174984,32.56412437012484
64,32.56600492511364,32.58356704994326,32.59568795163895
78,32.61062536677132,32.597987852493866,32.6181363238458
97,32.57076812670943,32.605641918333085,32.60175956084144
119,32.607564040918525,32.58273484746288,32.59916688827808
146,32.58781704360827,32.601189510945865,32.60290350612255
180,32.60715418273447,32.590931480688404,32.594295721642794
221,32.60174833041388,32.59860771822895,32.59220698053876
272,32.597378388793146,32.588221360588314,32.59326019535548
335,32.59543459612636,32.59603065036209,32.5938934860127
412,32.59544364284244,32.595984412902915,32.592692877680726
507,32.59648969089545,32.593815841157664,32.593747220499836
623,32.590548755672394,32.5923626250775,32.59336023104652
766,32.592625078526524,32.592401461208524,32.59349833166425
942,32.591869008072784,32.59337733973853,32.59331457985529
1159,32.594396258346016,32.59417970958457,32.59327020457656
1425,32.59382316325289,32.593507505344206,32.5931573978765
1752,32.59354423661025,32.59351773353997,32.59307327423106
2154,32.59209769261341,32.59281995296907,32.59317696155525
2648,32.59365862376158,32.59334084618389,32.593145706761305
3257,32.59337559829219,32.59321357334816,32.59316034067299
4004,32.5935950186663,32.59296093359253,32.593139688973565
4923,32.593631099538435,32.59339006525012,32.59315082835586
6054,32.59286498050142,32.59332645195188,32.59314857137923
7443,32.59331320675641,32.59331468159324,32.59314724281747
9152,32.59335918731915,32.593106606819134,32.59314455952745
11253,32.59312973334358,32.59322660589007,32.593145672627955
13836,32.59328304530409,32.59311456329141,32.593144646769325
17012,32.59327388087253,32.593217763393575,32.59314418852971
20917,32.59317804662238,32.5931762169573,32.59314474144615
25719,32.593138770317005,32.593194273808585,32.593144496549556
31622,32.593139591528505,32.59314393269481,32.593144501555145
