N,Binomial Tree,Trinomial Tree,Finite Differences
10,1.1780000477301655e-06,1.1829999948531622e-06,3.1289998787542572e-06
12,7.969999842316611e-07,8.47999899633578e-07,2.1329999526642496e-06
15,8.209999577957205e-07,7.789999472151976e-07,2.477999942129827e-06
18,8.739998520468362e-07,8.560000424040481e-07,3.487999947537901e-06
22,9.51999936660286e-07,9.890000001178123e-07,5.696000016541802e-06
28,1.1219999578315765e-06,1.3449998732539825e-06,6.735999932061532e-06
34,1.345000100627658e-06,1.540999846838531e-06,9.922999879563577e-06
42,1.5539999367319979e-06,1.8559999261924531e-06,1.3525999975172454e-05
52,3.0559999686374795e-06,3.73800003217184e-06,2.1546999960264657e-05
64,4.450000005817856e-06,7.008000011410331e-06,3.510699980324716e-05
78,3.857000137941213e-06,4.876000048170681e-06,4.5402000068861526e-05
97,4.12500003221794e-06,6.658000074821757e-06,6.656599998677848e-05
119,5.252999926597113e-06,8.965999995780294e-06,9.810899996409717e-05
146,7.496000080209342e-06,1.2950000154887675e-05,0.00016049299983933452
180,1.250000013897079e-05,2.6353000066592358e-05,0.00023753000004944624
221,1.869599987003312e-05,2.6414000103613944e-05,0.0003925769999568729
272,2.2129999933895306e-05,3.4298000173293985e-05,0.0005430310000065219
335,3.0994000098871766e-05,4.908000005343638e-05,0.0008087069998055085
412,4.006299991488049e-05,6.684200002382568e-05,0.0011833440000827977
507,5.381999994824582e-05,9.401300007993996e-05,0.0018479190000562085
623,7.638400006726442e-05,0.00014519100000143226,0.0026514700000461744
766,0.00010808799993355933,0.00019776199997068034,0.0039107209997837344
942,0.0001458899998851848,0.00030037799979254487,0.005850350999935472
1159,0.0002070769999136246,0.00044082600015826756,0.008779394999919532
1425,0.00035657800003718876,0.0009096490000501944,0.01334153800007698
1752,0.000454924999985451,0.0012470369999846298,0.020185934999972233
2154,0.0006237860000055662,0.001868994999995266,0.032434043999955975
2648,0.001003514999865729,0.003011331000152495,0.04995024000004378
3257,0.001644490000217047,0.010927238000022044,0.0682054110000081
4004,0.002642258999912883,0.0071370529999512655,0.10935150999989673
4923,0.0038858749999235442,0.01062622199992802,0.16616845399994418
6054,0.0064352599999892846,0.016652831000101287,0.2422404930000539
7443,0.009921523999992132,0.024912828999958947,0.37682952399995884
9152,0.015565225000045757,0.03757524399998147,0.5755378339999879
11253,0.02382721300000412,0.056257487000038964,0.867377384999827
13836,0.035930936999875485,0.08570517999987715,1.3532857209997928
17012,0.054480693999948926,0.12765682899998865,2.066758630999857
20917,0.0820215169999301,0.1903180889999021,3.1947213109999666
25719,0.12365499499992438,0.2855234940000173,4.926463865999949
31622,0.18742905000021892,0.4308274980000988,7.622490303000177
