N,Binomial Tree,Trinomial Tree,Finite Differences
10,4.975058074831406,4.889470496040665,5.29857493614263
12,4.853932127984883,4.951975906363611,5.320533148269164
15,5.077393271962609,4.982330054637485,5.153170151293812
18,4.835330969181725,4.976285727040161,5.350148885687187
22,4.926797481299553,4.944294620356518,5.336745109761158
28,4.977791465554151,4.8791515338461595,4.801498905146625
34,4.980793150254213,4.89545158124102,4.937197983249125
42,4.953753919687326,4.92960149397852,4.9890564883971535
52,4.9017496349714476,4.926592823838519,4.875757552212476
64,4.877639563776818,4.8952016886091485,4.9073216287341355
78,4.922260005435889,4.909622491158946,4.929770315142141
97,4.882402765373655,4.91727655700094,4.913393780907524
119,4.919198679581203,4.894369486126882,4.910801248812713
146,4.899451682271426,4.912824149608247,4.9145379600150205
180,4.9187888213966255,4.9025661193514845,4.90593023874467
221,4.91338296907719,4.910242356892917,4.903841538561456
272,4.909013027459043,4.899855999244108,4.904894780783424
335,4.9070692347874845,4.907665289021879,4.905528089579533
412,4.907078281507902,4.907619051565118,4.904327493139108
507,4.908124329552454,4.905450479825904,4.905381843838355
623,4.902183394337371,4.9039972637469464,4.904994859560322
766,4.904259717184044,4.904036099887981,4.905132963615572
942,4.9035036467452,4.90501197841714,4.904949214087958
1159,4.906030897007109,4.905814348285677,4.904904840330156
1425,4.90545780191942,4.9051421440397505,4.904792034635866
1752,4.905178875283348,4.905152372173215,4.904707911657591
2154,4.903732331290807,4.904454591642835,4.90481159940576
2648,4.9052932624226635,4.904975484912503,4.904780344861278
3257,4.905010236913217,4.904848212013284,4.904794978901776
4004,4.905229657334446,4.904595572361735,4.90477432726429
4923,4.9052657382576,4.905024703968692,4.9047854668180335
6054,4.904499619238249,4.904961090886678,4.904783209959964
7443,4.90494784540082,4.904949320229217,4.90478188131773
9152,4.904993825865026,4.904741245382483,4.904779198387269
11253,4.904764372013589,4.904861244378668,4.904780312634134
13836,4.904917683907622,4.904749201883841,4.904779287691327
17012,4.904908519635605,4.904852402145273,4.904778829074045
20917,4.904812685446701,4.904810856004086,4.904779381013054
25719,4.90477340897908,4.904828912260739,4.904779133187173
31622,4.9047742301374,4.904778571770178,4.904779130191839
