N,Binomial Tree,Trinomial Tree,Finite Differences
10,4.836000016439357e-06,5.439999995360267e-06,6.768000048396061e-06
12,8.230001640185947e-07,8.970000635599717e-07,2.184000095439842e-06
15,8.530000741302501e-07,8.649999472254422e-07,2.527000106056221e-06
18,9.499999578110874e-07,9.349998890684219e-07,3.922000132661196e-06
22,9.839998256211402e-07,1.1700001323333709e-06,4.934999878969393e-06
28,1.1289998838037718e-06,1.26400004774041e-06,6.759999905625591e-06
34,1.3829999261361081e-06,1.5499999790336005e-06,9.454000064579304e-06
42,1.9539997992978897e-06,2.663000032043783e-06,1.3962999901195872e-05
52,2.1329999526642496e-06,3.2079999527923064e-06,2.0988999949622666e-05
64,5.747999921368319e-06,3.988999878856703e-06,3.147200004605111e-05
78,3.234999894630164e-06,4.963000037605525e-06,4.5473999989553704e-05
97,4.121000074519543e-06,6.7630001012730645e-06,6.750400007149437e-05
119,5.320999889590894e-06,9.355999964100192e-06,9.874199986370513e-05
146,9.431000080439844e-06,1.5576000123473932e-05,0.00018153199994230818
180,1.1549999953786028e-05,1.8862999922930612e-05,0.00024454399999740417
221,1.5579999853798654e-05,2.513000004000787e-05,0.0003505750000840635
272,2.238599995507684e-05,3.492200016808056e-05,0.0005091670000183512
335,3.1625000019630534e-05,4.992499998479616e-05,0.0007836680001673813
412,4.2332999782956904e-05,6.812300011915795e-05,0.0011224350000702543
507,5.7166000033248565e-05,0.00013721799996346817,0.001746789999970133
623,0.00011093700004494167,0.00015018799990684784,0.0028019700000641024
766,0.00010332500005461043,0.00020114699987061613,0.003879741999980979
942,0.0001628749998872081,0.00029682400008823606,0.005885893999902692
1159,0.000216973000078724,0.0004402600000048551,0.008866463999993357
1425,0.0003391840000404045,0.0007716340001024946,0.014255095000180518
1752,0.0005752039999151748,0.0013344740000320598,0.02021144000013919
2154,0.0007939409999835334,0.0018577830001049733,0.031964761000153885
2648,0.0010419469999760622,0.0032026090000272234,0.047399179999956687
3257,0.001633537000088836,0.004858624000007694,0.07155580500011638
4004,0.00253000200018505,0.007040712999923926,0.12030218499990042
4923,0.004347484999925655,0.010791955000058806,0.16277013100011573
6054,0.006231930000012653,0.016429554000069402,0.24238513299997066
7443,0.009820509999826754,0.024900965000142605,0.3793556510001963
9152,0.015290925000044808,0.038407078999853184,0.5731504889999997
11253,0.02377368799989199,0.057592670000076396,0.8579519090001213
13836,0.035742834999837214,0.08623015200009831,1.3140191069999219
17012,0.054202047999979186,0.12872069099989858,2.0056064049999804
20917,0.08262250600000698,0.19150391200014383,3.048017458000004
25719,0.12549887800014403,0.2864895750001324,4.679325715999994
31622,0.1888671910000994,0.4310635409999577,7.1947113899998385
