N,Binomial Tree,Trinomial Tree,Finite Differences
10,28.870627199890738,28.787550381455244,29.387313508087367
12,28.74430493797438,28.853559627953032,29.38297389694573
15,28.985448031167234,28.884870320271702,29.125133308588026
18,28.729858777992817,28.87779697081052,29.338361458793692
22,28.827078219332616,28.843518859733578,29.29797555743032
28,28.88034586504705,28.774761180480567,28.71842644633726
34,28.88275938685785,28.792550402933507,28.851356393074166
42,28.853586148079284,28.828640878328542,28.902311569524812
52,28.798531531358094,28.8252066304781,28.778482412658942
64,28.77358815359331,28.79196847244339,28.809123084652732
78,28.820940789732404,28.807416811749217,28.831510551328478
97,28.77854341562011,28.815412686090376,28.813209749011502
119,28.81758385877618,28.791164382709994,28.809864974362508
146,28.796630849951892,28.810742850227285,28.813377614438764
180,28.81705857861598,28.799840638188282,28.803980757514076
221,28.811357212783598,28.808000500926443,28.801583304278235
272,28.80672546823155,28.79699310992901,28.80257551319228
335,28.804658164490707,28.805256350156135,28.803162474598587
412,28.804661102833723,28.805219168976578,28.80183687122376
507,28.805762561755625,28.802924060366678,28.802917149219592
623,28.799451011811268,28.801382641568907,28.802483818645104
766,28.80166406929934,28.801423103217598,28.802614452474057
942,28.80085241802313,28.802457049614986,28.802409378596163
1159,28.803537798146603,28.80330570914677,28.802355569152084
1425,28.802930111067223,28.80259201463276,28.802231626712718
1752,28.802629377139105,28.802604842256404,28.80213951308608
2154,28.801099083348667,28.801864641051395,28.802247375018407
2648,28.8027543429385,28.8024163932971,28.80221296180638
3257,28.802454385702113,28.80228174889917,28.802227596742412
4004,28.802686530871966,28.802014651744916,28.802205149369332
4923,28.802724033403443,28.802469019109445,28.80221657174318
6054,28.801913002931194,28.802401819834863,28.802213930823456
7443,28.802387377438382,28.802389314940925,28.802212358671206
9152,28.802436225434946,28.802168856545137,28.802209407286597
11253,28.80219322743859,28.80229599359595,28.802210514054252
13836,28.80235585926172,28.80217733855388,28.802209379874498
17012,28.802346040985356,28.802286682453797,28.802208862663786
20917,28.80224453806509,28.802242672618263,28.80220942703226
25719,28.802202966595203,28.802261825811616,28.802209153127475
31622,28.80220385687849,28.802208497157338,28.802209148023227
