N,Binomial Tree,Trinomial Tree,Finite Differences
10,8.170000000973232e-07,1.044999862642726e-06,1.8460000319464598e-06
12,7.20000116416486e-07,8.050001270021312e-07,1.9359999896551017e-06
15,7.470000582543435e-07,8.020001587283332e-07,2.3439999949914636e-06
18,8.590000106778461e-07,8.849999630911043e-07,3.499999820633093e-06
22,8.950000847107731e-07,9.689999842521502e-07,4.425000042829197e-06
28,1.14800013761851e-06,1.2250000054336851e-06,6.421999842132209e-06
34,1.3290000424603932e-06,1.511999926151475e-06,8.988999979919754e-06
42,1.8539999473432545e-06,2.1830001060152426e-06,1.3623000086226966e-05
52,3.059999926335877e-06,2.7439998575573554e-06,2.2671000124319107e-05
64,3.747999926417833e-06,3.3339999845338752e-06,3.0201999834389426e-05
78,3.1979998311726376e-06,4.815000011149095e-06,4.476100002648309e-05
97,4.069000169693027e-06,6.782000127714127e-06,6.637299998146773e-05
119,5.271999953038176e-06,9.152000075118849e-06,9.737100003803789e-05
146,8.716999900570954e-06,1.5213000096991891e-05,0.00018320899994250794
180,1.0775999953693827e-05,1.8129999943994335e-05,0.00023725599999124825
221,1.5474000065296423e-05,2.4807000045257155e-05,0.00035619999994196405
272,2.1089000028950977e-05,3.4198000093965675e-05,0.000510192000092502
335,3.116699986094318e-05,5.3271999831849826e-05,0.0007735050000974297
412,3.956499995183549e-05,6.70049998916511e-05,0.0011449480000464973
507,5.5434999921999406e-05,0.00011438199999247445,0.0017871030001970212
623,8.134600011544535e-05,0.0001454519999697368,0.0027099649998945097
766,0.0001376960001380212,0.0001936170001499704,0.003980667000178073
942,0.0001850529999956052,0.000284418000092046,0.005881638000118983
1159,0.00020864099997197627,0.0004432370001268282,0.008870876999935717
1425,0.00031765499988978263,0.0007690439999805676,0.013965516000098432
1752,0.00044548100004249136,0.0014009019998866279,0.019671766999863394
2154,0.0006382509998275054,0.001862310999968031,0.03144726000004994
2648,0.0011731409999811149,0.003069714000048407,0.04647207600010006
3257,0.0025299050000739953,0.004658960999904593,0.07988430299997162
4004,0.005634593000195309,0.007169813000018621,0.10552989100006016
4923,0.011489333000099577,0.010872215000063079,0.16197084500004166
6054,0.022796601999971244,0.016819542000121146,0.24145598099994459
7443,0.04333295699984774,0.025620009000022037,0.3723262700000305
9152,0.07934283999998115,0.03767880500004139,0.5666370359999746
11253,0.14117939099992327,0.056769725000094695,0.8744572450000305
13836,0.24587870699997438,0.08525520900002448,1.345234612000013
17012,0.4167095770001197,0.12797659900002145,2.0618981139998596
20917,0.6977691330000653,0.1916202240001894,3.1935034890000225
25719,1.1545866200001456,0.2884758170000623,4.978413610999951
31622,1.8874115039998287,0.43038966800008893,7.6446919239999716
