N,Binomial Tree,Trinomial Tree,Finite Differences
10,5.887529140275491,5.8044523218400865,6.40418224074098
12,5.761206878359252,5.870461568338184,6.399852759877001
15,6.002349971552152,5.901772260655883,6.142020477889842
18,5.7467607183775415,5.894698911195075,6.35525314101894
22,5.8439801597173355,5.860420800118427,6.314870630684672
28,5.89724780543187,5.791663120865454,5.735324147295297
34,5.8996613272425105,5.809452343317648,5.868255458278433
42,5.870488088464102,5.845542818712492,5.919211625719857
52,5.815433471743265,5.8421085708626475,5.795383123859792
64,5.790490093978696,5.808870412829549,5.82602421358391
78,5.837842730118101,5.824318752132357,5.8484119454093575
97,5.795445356006056,5.83231462647738,5.8301113361480414
119,5.834485799161459,5.8080663230953435,5.826766680038406
146,5.81353279033633,5.827644790610616,5.8302793988980355
180,5.833960518999581,5.816742578575945,5.820882595314782
221,5.828259153169551,5.824902441312099,5.818485176611379
272,5.8236274086143025,5.813895050309667,5.819477408652489
335,5.8215601048734,5.822158290536501,5.820064385365791
412,5.821563043216725,5.8221211093543666,5.818738792025913
507,5.822664502141035,5.8198260007565965,5.819819076671964
623,5.8163529522015125,5.818284581951738,5.819385750465311
766,5.818566009693693,5.818325043612511,5.819516387193811
942,5.817754358416661,5.819358989991579,5.819311315239987
1159,5.820439738544858,5.8202076495369175,5.819257507079792
1425,5.8198320514670545,5.819493954993646,5.819133565494835
1752,5.819531317511247,5.819506782639906,5.819041452428743
2154,5.818001023729652,5.818766581461411,5.81914931471967
2648,5.819656283351172,5.819318333674608,5.81911490171449
3257,5.819356326055629,5.81918368928924,5.819129536746879
4004,5.819588471306061,5.818916592106859,5.819107089430892
4923,5.819625973836799,5.819370959549919,5.819118511940741
6054,5.818814943392807,5.819303760165754,5.819115871154095
7443,5.8192893178453975,5.819291255065318,5.819114298890442
9152,5.8193381657695955,5.819070797015305,5.819111347775677
11253,5.819095167777111,5.819197933852943,5.819112455661448
13836,5.819257799636878,5.8190792791407215,5.819111322193177
17012,5.819247981348008,5.81918862268458,5.819110804736965
20917,5.819146478646986,5.819144612968429,5.819111368457866
25719,5.819104906774486,5.819163765986979,5.819111092109661
31622,5.8191057975524,5.81911043713264,5.8191110797863885
