N,Binomial Tree,Trinomial Tree,Finite Differences
10,0.18693582231321193,0.1869358223132113,0.08333333333333333
12,0.10723705908308641,0.10723705908308853,0.5
15,0.5221428848673672,0.0013762226077535175,0.125
18,0.09276785795211026,0.09276785795211041,0.25000000000000017
22,0.20533551730891375,0.20533551730891741,0.4166666666666662
28,0.35458483581587763,0.3545848358158724,0.1666666666666669
34,0.5105395925898651,0.5105395925898717,0.08333333333333405
42,0.33430778229573865,0.3343077822957409,0.25000000000000033
52,0.14142566708285068,0.14142566708283444,0.1666666666666661
64,0.06247796161537725,0.062477961615359734,0.3333333333333333
78,0.27384952015797676,0.2738495201579815,0.2499999999999991
97,0.03935581239346785,0.46785147447038566,0.2083333333333326
119,0.30935509781221676,0.18828949374557816,0.2083333333333326
146,0.11505690192804265,0.11505690192806847,0.4166666666666678
180,0.4535834914440296,0.4535834914440009,0.4999999999999982
221,0.33034185587233994,0.16750990982365802,0.04166666666667306
272,0.2509948810089799,0.2509948810089524,0.33333333333332815
335,0.21829600799853163,0.2821810976277847,0.20833333333332713
412,0.23261816316788378,0.2326181631677369,0.16666666666665897
507,0.30421917595860376,0.19482958760610436,0.375000000000001
623,0.06433143130620303,0.4329824419830329,0.20833333333333465
766,0.13595489937986494,0.13595489937942784,0.4166666666666723
942,0.08639852517906382,0.08639852517999295,0.24999999999998773
1159,0.277162122886886,0.2225136709746859,0.45833333333334303
1425,0.23278496639250226,0.2673439765230935,0.12499999999999512
1752,0.207903798500223,0.20790379850280372,0.0
2154,0.03326679526048273,0.033266795262620774,0.2499999999999803
2648,0.26769795237543803,0.2676979523702397,0.3333333333332644
3257,0.21476351396859827,0.28544101952801787,0.4583333333332538
4004,0.3149253946630617,0.31492539467194414,0.16666666666659063
4923,0.4096128377729588,0.09117992286437994,0.3750000000000176
6054,0.061981709763743315,0.061981709771804984,0.24999999999999964
7443,0.25554006208259744,0.24447631015657484,0.3750000000000117
9152,0.333709434738811,0.3337094347376417,0.3333333333333845
11253,0.14819234177323626,0.3514647507989085,0.3749999999999618
13836,0.32868710381835486,0.32868710379517446,0.4999999999996629
17012,0.3700717260509621,0.37007172603759025,0.1666666666667684
20917,0.20921884731824167,0.2906793431748781,0.29166666666633156
25719,0.14961622924225193,0.35016088874623186,0.1250000000005617
31622,0.14916275348504676,0.14916275354003247,0.08333333333338473
